id,league,year,year_id,Batting Average,On-Base Percentage,Slugging Percentage,Statistic,Statistic Value,TB,Team,Total At Bats,Total Caught Stealings,Total Doubles,Total Games,Total Hits,Total Home Runs,Total Runs,Total Runs Batted In,Total Stolen Bases,Total Strikeouts,Total Triples,Total Walks
1,American Association,1882,1,,,,Base on Balls,128,,Louisville,,,,,,,,,,,,
2,American Association,1882,2,,,,Batting Average,.264,,Cincinnati,,,,,,,,,,,,
3,American Association,1882,3,,,,Doubles,110,,Louisville,,,,,,,,,,,,
4,American Association,1882,4,,,,Doubles,110,,Pittsburgh,,,,,,,,,,,,
5,American Association,1882,5,,,,Hits,795,,Cincinnati,,,,,,,,,,,,
6,American Association,1882,6,,,,Home Runs,18,,Pittsburgh,,,,,,,,,,,,
7,American Association,1882,7,,,,On Base Percentage,.292,,Louisville,,,,,,,,,,,,
8,American Association,1882,8,,,,Runs,489,,Cincinnati,,,,,,,,,,,,
9,American Association,1882,9,,,,Slugging Average,.348,,Pittsburgh,,,,,,,,,,,,
10,American Association,1883,1,,,,Base on Balls,200,,Philadelphia,,,,,,,,,,,,
11,American Association,1883,2,,,,Batting Average,.262,,Philadelphia,,,,,,,,,,,,
12,American Association,1883,3,,,,Doubles,149,,Philadelphia,,,,,,,,,,,,
13,American Association,1883,4,,,,Hits,974,,Philadelphia,,,,,,,,,,,,
14,American Association,1883,5,,,,Home Runs,34,,Cincinnati,,,,,,,,,,,,
15,American Association,1883,6,,,,On Base Percentage,.300,,Philadelphia,,,,,,,,,,,,
16,American Association,1883,7,,,,Runs,720,,Philadelphia,,,,,,,,,,,,
17,American Association,1883,8,,,,Slugging Average,.363,,Cincinnati,,,,,,,,,,,,
18,American Association,1884,1,,,,Base on Balls,211,,Baltimore,,,,,,,,,,,,
19,American Association,1884,2,,,,Batting Average,.267,,Philadelphia,,,,,,,,,,,,
20,American Association,1884,3,,,,Doubles,167,,Philadelphia,,,,,,,,,,,,
21,American Association,1884,4,,,,Hits,"1,057",,Philadelphia,,,,,,,,,,,,
22,American Association,1884,5,,,,Home Runs,40,,Columbus,,,,,,,,,,,,
23,American Association,1884,6,,,,On Base Percentage,.304,,New York,,,,,,,,,,,,
24,American Association,1884,7,,,,Runs,754,,Cincinnati,,,,,,,,,,,,
25,American Association,1884,8,,,,Slugging Average,.379,,Philadelphia,,,,,,,,,,,,
26,American Association,1885,1,,,,Base on Balls,279,,Baltimore,,,,,,,,,,,,
27,American Association,1885,2,,,,Batting Average,.265,,Philadelphia,,,,,,,,,,,,
28,American Association,1885,3,,,,Doubles,169,,Philadelphia,,,,,,,,,,,,
29,American Association,1885,4,,,,Hits,"1,099",,Philadelphia,,,,,,,,,,,,
30,American Association,1885,5,,,,Home Runs,30,,Philadelphia,,,,,,,,,,,,
31,American Association,1885,6,,,,On Base Percentage,.310,,Philadelphia,,,,,,,,,,,,
32,American Association,1885,7,,,,Runs,764,,Philadelphia,,,,,,,,,,,,
33,American Association,1885,8,,,,Slugging Average,.365,,Philadelphia,,,,,,,,,,,,
34,American Association,1886,1,,,,Base on Balls,478,,Pittsburgh,,,,,,,,,,,,
35,American Association,1886,2,,,,Batting Average,.273,,St. Louis,,,,,,,,,,,,
36,American Association,1886,3,,,,Doubles,206,,St. Louis,,,,,,,,,,,,
37,American Association,1886,4,,,,Hits,"1,365",,St. Louis,,,,,,,,,,,,
38,American Association,1886,5,,,,Home Runs,45,,Cincinnati,,,,,,,,,,,,
39,American Association,1886,6,,,,On Base Percentage,.333,,St. Louis,,,,,,,,,,,,
40,American Association,1886,7,,,,Runs,944,,St. Louis,,,,,,,,,,,,
41,American Association,1886,8,,,,Slugging Average,.360,,St. Louis,,,,,,,,,,,,
42,American Association,1887,1,,,,Base on Balls,469,,Baltimore,,,,,,,,,,,,
43,American Association,1887,2,,,,Batting Average,.307,,St. Louis,,,,,,,,,,,,
44,American Association,1887,3,,,,Doubles,261,,St. Louis,,,,,,,,,,,,
45,American Association,1887,4,,,,Hits,"1,550",,St. Louis,,,,,,,,,,,,
46,American Association,1887,5,,,,Home Runs,39,,St. Louis,,,,,,,,,,,,
47,American Association,1887,6,,,,On Base Percentage,.371,,St. Louis,,,,,,,,,,,,
48,American Association,1887,7,,,,Runs,"1,131",,St. Louis,,,,,,,,,,,,
49,American Association,1887,8,,,,Slugging Average,.413,,St. Louis,,,,,,,,,,,,
50,American Association,1888,1,,,,Base on Balls,410,,St. Louis,,,,,,,,,,,,
51,American Association,1888,2,,,,Batting Average,.250,,St. Louis,,,,,,,,,,,,
52,American Association,1888,3,,,,Doubles,183,,Philadelphia,,,,,,,,,,,,
53,American Association,1888,4,,,,Hits,"1,209",,Philadelphia,,,,,,,,,,,,
54,American Association,1888,5,,,,Home Runs,36,,St. Louis,,,,,,,,,,,,
55,American Association,1888,6,,,,On Base Percentage,.316,,St. Louis,,,,,,,,,,,,
56,American Association,1888,7,,,,Runs,827,,Philadelphia,,,,,,,,,,,,
57,American Association,1888,8,,,,Slugging Average,.344,,Philadelphia,,,,,,,,,,,,
58,American Association,1889,1,,,,Base on Balls,550,,Brooklyn,,,,,,,,,,,,
59,American Association,1889,2,,,,Batting Average,.275,,Philadelphia,,,,,,,,,,,,
60,American Association,1889,3,,,,Doubles,239,,Philadelphia,,,,,,,,,,,,
61,American Association,1889,4,,,,Hits,"1,339",,Philadelphia,,,,,,,,,,,,
62,American Association,1889,5,,,,Home Runs,58,,St. Louis,,,,,,,,,,,,
63,American Association,1889,6,,,,On Base Percentage,.354,,Philadelphia,,,,,,,,,,,,
64,American Association,1889,7,,,,Runs,995,,Brooklyn,,,,,,,,,,,,
65,American Association,1889,8,,,,Slugging Average,.382,,Cincinnati,,,,,,,,,,,,
66,American Association,1890,1,,,,Base on Balls,545,,Columbus,,,,,,,,,,,,
67,American Association,1890,2,,,,Batting Average,.279,,Louisville,,,,,,,,,,,,
68,American Association,1890,3,,,,Doubles,181,,Philadelphia,,,,,,,,,,,,
69,American Association,1890,4,,,,Hits,"1,310",,Louisville,,,,,,,,,,,,
70,American Association,1890,5,,,,Home Runs,48,,St. Louis,,,,,,,,,,,,
71,American Association,1890,6,,,,On Base Percentage,.350,,St. Louis,,,,,,,,,,,,
72,American Association,1890,7,,,,Runs,870,,St. Louis,,,,,,,,,,,,
73,American Association,1891,1,,,,Base on Balls,651,,Boston,,,,,,,,,,,,
74,American Association,1891,2,,,,Batting Average,.274,,Boston,,,,,,,,,,,,
75,American Association,1891,3,,,,Doubles,182,,Philadelphia,,,,,,,,,,,,
76,American Association,1891,4,,,,Hits,"1,341",,Boston,,,,,,,,,,,,
77,American Association,1891,5,,,,Home Runs,58,,St. Louis,,,,,,,,,,,,
78,American Association,1891,6,,,,On Base Percentage,.367,,Boston,,,,,,,,,,,,
79,American Association,1891,7,,,,Runs,"1,028",,Boston,,,,,,,,,,,,
80,American League,1901,1,,,,Base on Balls,475,,Chicago,,,,,,,,,,,,
81,American League,1901,2,,,,Batting Average,.294,,Baltimore,,,,,,,,,,,,
82,American League,1901,3,,,,Doubles,239,,Philadelphia,,,,,,,,,,,,
83,American League,1901,4,,,,Hits,"1,409",,Philadelphia,,,,,,,,,,,,
84,American League,1901,5,,,,Home Runs,37,,Boston,,,,,,,,,,,,
85,American League,1901,6,,,,On Base Percentage,.353,,Baltimore,,,,,,,,,,,,
86,American League,1901,7,,,,Runs,819,,Chicago,,,,,,,,,,,,
87,American League,1901,8,,,,Slugging Average,.397,,Baltimore,,,,,,,,,,,,
88,American League,1901,9,,,,Stolen Bases,280,,Chicago,,,,,,,,,,,,
89,American League,1902,1,,,,Base on Balls,417,,Baltimore,,,,,,,,,,,,
90,American League,1902,2,,,,Batting Average,.289,,Cleveland,,,,,,,,,,,,
91,American League,1902,3,,,,Doubles,261,,Washington,,,,,,,,,,,,
92,American League,1902,4,,,,Hits,"1,401",,Cleveland,,,,,,,,,,,,
93,American League,1902,5,,,,Home Runs,47,,Washington,,,,,,,,,,,,
94,American League,1902,6,,,,On Base Percentage,.342,,Baltimore,,,,,,,,,,,,
95,American League,1902,7,,,,Runs,775,,Philadelphia,,,,,,,,,,,,
96,American League,1902,8,,,,Slugging Average,.395,,Washington,,,,,,,,,,,,
97,American League,1902,9,,,,Stolen Bases,265,,Chicago,,,,,,,,,,,,
98,American League,1903,1,,,,Base on Balls,332,,New York,,,,,,,,,,,,
99,American League,1903,2,,,,Batting Average,.272,,Boston,,,,,,,,,,,,
100,American League,1903,3,,,,Doubles,231,,Cleveland,,,,,,,,,,,,
101,American League,1903,4,,,,Hits,"1,336",,Boston,,,,,,,,,,,,
102,American League,1903,5,,,,Home Runs,48,,Boston,,,,,,,,,,,,
103,American League,1903,6,,,,On Base Percentage,.318,,Detroit,,,,,,,,,,,,
104,American League,1903,7,,,,Runs,708,,Boston,,,,,,,,,,,,
105,American League,1903,8,,,,Slugging Average,.392,,Boston,,,,,,,,,,,,
106,American League,1903,9,,,,Stolen Bases,180,,Chicago,,,,,,,,,,,,
107,American League,1904,1,,,,Base on Balls,373,,Chicago,,,,,,,,,,,,
108,American League,1904,2,,,,Batting Average,.260,,Cleveland,,,,,,,,,,,,
109,American League,1904,3,,,,Doubles,225,,Cleveland,,,,,,,,,,,,
110,American League,1904,4,,,,Hits,"1,354",,New York,,,,,,,,,,,,
111,American League,1904,5,,,,Home Runs,31,,Philadelphia,,,,,,,,,,,,
112,American League,1904,6,,,,On Base Percentage,.308,,Cleveland,,,,,,,,,,,,
113,American League,1904,7,,,,Runs,647,,Cleveland,,,,,,,,,,,,
114,American League,1904,8,,,,Slugging Average,.354,,Cleveland,,,,,,,,,,,,
115,American League,1904,9,,,,Stolen Bases,216,,Chicago,,,,,,,,,,,,
116,American League,1905,1,,,,Base on Balls,486,,Boston,,,,,,,,,,,,
117,American League,1905,2,,,,Batting Average,.255,,Philadelphia,,,,,,,,,,,,
118,American League,1905,3,,,,Doubles,256,,Philadelphia,,,,,,,,,,,,
119,American League,1905,4,,,,Hits,"1,318",,Cleveland,,,,,,,,,,,,
120,American League,1905,5,,,,Home Runs,29,,Boston,,,,,,,,,,,,
121,American League,1905,6,,,,On Base Percentage,.310,,Philadelphia,,,,,,,,,,,,
122,American League,1905,7,,,,Runs,623,,Philadelphia,,,,,,,,,,,,
123,American League,1905,8,,,,Slugging Average,.338,,Philadelphia,,,,,,,,,,,,
124,American League,1906,1,,,,Base on Balls,453,,Chicago,,,,,,,,,,,,
125,American League,1906,2,,,,Batting Average,.279,,Cleveland,,,,,,,,,,,,
126,American League,1906,3,,,,Doubles,240,,Cleveland,,,,,,,,,,,,
127,American League,1906,4,,,,Hits,"1,514",,Cleveland,,,,,,,,,,,,
128,American League,1906,5,,,,Home Runs,32,,Philadelphia,,,,,,,,,,,,
129,American League,1906,6,,,,On Base Percentage,.325,,Cleveland,,,,,,,,,,,,
130,American League,1906,7,,,,Runs,663,,Cleveland,,,,,,,,,,,,
131,American League,1906,8,,,,Slugging Average,.357,,Cleveland,,,,,,,,,,,,
132,American League,1906,9,,,,Stolen Bases,233,,Washington,,,,,,,,,,,,
133,American League,1907,1,,,,Base on Balls,421,,Chicago,,,,,,,,,,,,
134,American League,1907,2,,,,Batting Average,.266,,Detroit,,,,,,,,,,,,
135,American League,1907,3,,,,Doubles,220,,Philadelphia,,,,,,,,,,,,
136,American League,1907,4,,,,Hits,"1,383",,Detroit,,,,,,,,,,,,
137,American League,1907,5,,,,Home Runs,22,,Philadelphia,,,,,,,,,,,,
138,American League,1907,6,,,,On Base Percentage,.313,,Detroit,,,,,,,,,,,,
139,American League,1907,7,,,,Runs,694,,Detroit,,,,,,,,,,,,
140,American League,1907,8,,,,Slugging Average,.335,,Detroit,,,,,,,,,,,,
141,American League,1907,9,,,,Stolen Bases,223,,Washington,,,,,,,,,,,,
142,American League,1908,1,,,,Base on Balls,463,,Chicago,,,,,,,,,,,,
143,American League,1908,2,,,,Batting Average,.263,,Detroit,,,,,,,,,,,,
144,American League,1908,3,,,,Doubles,199,,Detroit,,,,,,,,,,,,
145,American League,1908,4,,,,Hits,"1,347",,Detroit,,,,,,,,,,,,
146,American League,1908,5,,,,Home Runs,21,,Philadelphia,,,,,,,,,,,,
147,American League,1908,6,,,,On Base Percentage,.312,,Detroit,,,,,,,,,,,,
148,American League,1908,7,,,,Runs,647,,Detroit,,,,,,,,,,,,
149,American League,1908,8,,,,Slugging Average,.347,,Detroit,,,,,,,,,,,,
150,American League,1908,9,,,,Stolen Bases,231,,New York,,,,,,,,,,,,
151,American League,1909,1,,,,Base on Balls,441,,Chicago,,,,,,,,,,,,
152,American League,1909,2,,,,Batting Average,.267,,Detroit,,,,,,,,,,,,
153,American League,1909,3,,,,Doubles,209,,Detroit,,,,,,,,,,,,
154,American League,1909,4,,,,Hits,"1,360",,Detroit,,,,,,,,,,,,
155,American League,1909,5,,,,Home Runs,21,,Philadelphia,,,,,,,,,,,,
156,American League,1909,6,,,,On Base Percentage,.325,,Detroit,,,,,,,,,,,,
157,American League,1909,7,,,,Runs,666,,Detroit,,,,,,,,,,,,
158,American League,1909,8,,,,Slugging Average,.343,,Philadelphia,,,,,,,,,,,,
159,American League,1909,9,,,,Stolen Bases,280,,Detroit,,,,,,,,,,,,
160,American League,1910,1,,,,Base on Balls,464,,New York,,,,,,,,,,,,
161,American League,1910,2,,,,Batting Average,.266,,Philadelphia,,,,,,,,,,,,
162,American League,1910,3,,,,Doubles,191,,Philadelphia,,,,,,,,,,,,
163,American League,1910,4,,,,Hits,"1,373",,Philadelphia,,,,,,,,,,,,
164,American League,1910,5,,,,Home Runs,43,,Boston,,,,,,,,,,,,
165,American League,1910,6,,,,On Base Percentage,.329,,Detroit,,,,,,,,,,,,
166,American League,1910,7,,,,Runs,679,,Detroit,,,,,,,,,,,,
167,American League,1910,8,,,,Slugging Average,.355,,Philadelphia,,,,,,,,,,,,
168,American League,1910,9,,,,Stolen Bases,288,,New York,,,,,,,,,,,,
169,American League,1911,1,,,,Base on Balls,506,,Boston,,,,,,,,,,,,
170,American League,1911,2,,,,Batting Average,.296,,Philadelphia,,,,,,,,,,,,
171,American League,1911,3,,,,Doubles,238,,Cleveland,,,,,,,,,,,,
172,American League,1911,4,,,,Hits,"1,544",,Detroit,,,,,,,,,,,,
173,American League,1911,5,,,,Home Runs,35,,Boston,,,,,,,,,,,,
174,American League,1911,6,,,,Home Runs,35,,Philadelphia,,,,,,,,,,,,
175,American League,1911,7,,,,On Base Percentage,.357,,Philadelphia,,,,,,,,,,,,
176,American League,1911,8,,,,Runs,861,,Philadelphia,,,,,,,,,,,,
177,American League,1911,9,,,,Slugging Average,.398,,Philadelphia,,,,,,,,,,,,
178,American League,1911,10,,,,Stolen Bases,276,,Detroit,,,,,,,,,,,,
179,American League,1911,11,,,,Triples,96,,Detroit,,,,,,,,,,,,
180,American League,1912,1,,,,Base on Balls,565,,Boston,,,,,,,,,,,,
181,American League,1912,2,,,,Batting Average,.282,,Philadelphia,,,,,,,,,,,,
182,American League,1912,3,,,,Doubles,269,,Boston,,,,,,,,,,,,
183,American League,1912,4,,,,Hits,"1,442",,Philadelphia,,,,,,,,,,,,
184,American League,1912,5,,,,Home Runs,29,,Boston,,,,,,,,,,,,
185,American League,1912,6,,,,On Base Percentage,.355,,Boston,,,,,,,,,,,,
186,American League,1912,7,,,,Runs,799,,Boston,,,,,,,,,,,,
187,American League,1912,8,,,,Slugging Average,.380,,Boston,,,,,,,,,,,,
188,American League,1912,9,,,,Stolen Bases,274,,Washington,,,,,,,,,,,,
189,American League,1913,1,,,,Base on Balls,534,,New York,,,,,,,,,,,,
190,American League,1913,2,,,,Base on Balls,534,,Philadelphia,,,,,,,,,,,,
191,American League,1913,3,,,,Batting Average,.280,,Philadelphia,,,,,,,,,,,,
192,American League,1913,4,,,,Doubles,223,,Philadelphia,,,,,,,,,,,,
193,American League,1913,5,,,,Hits,"1,412",,Philadelphia,,,,,,,,,,,,
194,American League,1913,6,,,,Home Runs,33,,Philadelphia,,,,,,,,,,,,
195,American League,1913,7,,,,On Base Percentage,.356,,Philadelphia,,,,,,,,,,,,
196,American League,1913,8,,,,Runs,794,,Philadelphia,,,,,,,,,,,,
197,American League,1913,9,,,,Slugging Average,.375,,Philadelphia,,,,,,,,,,,,
198,American League,1913,10,,,,Stolen Bases,287,,Washington,,,,,,,,,,,,
199,American League,1913,11,,,,Triples,101,,Boston,,,,,,,,,,,,
200,American League,1914,1,,,,Base on Balls,577,,New York,,,,,,,,,,,,
201,American League,1914,2,,,,Batting Average,.272,,Philadelphia,,,,,,,,,,,,
202,American League,1914,3,,,,Doubles,226,,Boston,,,,,,,,,,,,
203,American League,1914,4,,,,Hits,"1,392",,Philadelphia,,,,,,,,,,,,
204,American League,1914,5,,,,Home Runs,29,,Philadelphia,,,,,,,,,,,,
205,American League,1914,6,,,,On Base Percentage,.348,,Philadelphia,,,,,,,,,,,,
206,American League,1914,7,,,,Runs,749,,Philadelphia,,,,,,,,,,,,
207,American League,1914,8,,,,Slugging Average,.352,,Philadelphia,,,,,,,,,,,,
208,American League,1914,9,,,,Stolen Bases,251,,New York,,,,,,,,,,,,
209,American League,1915,1,,,,Base on Balls,681,,Detroit,,,,,,,,,,,,
210,American League,1915,2,,,,Batting Average,.268,,Detroit,,,,,,,,,,,,
211,American League,1915,3,,,,Doubles,207,,Detroit,,,,,,,,,,,,
212,American League,1915,4,,,,Hits,"1,372",,Detroit,,,,,,,,,,,,
213,American League,1915,5,,,,Home Runs,31,,New York,,,,,,,,,,,,
214,American League,1915,6,,,,On Base Percentage,.357,,Detroit,,,,,,,,,,,,
215,American League,1915,7,,,,Runs,778,,Detroit,,,,,,,,,,,,
216,American League,1915,8,,,,Slugging Average,.358,,Detroit,,,,,,,,,,,,
217,American League,1915,9,,,,Stolen Bases,241,,Detroit,,,,,,,,,,,,
218,American League,1916,1,,,,Base on Balls,626,,St. Louis,,,,,,,,,,,,
219,American League,1916,2,,,,Batting Average,.264,,Detroit,,,,,,,,,,,,
220,American League,1916,3,,,,Doubles,233,,Cleveland,,,,,,,,,,,,
221,American League,1916,4,,,,Hits,"1,371",,Detroit,,,,,,,,,,,,
222,American League,1916,5,,,,Home Runs,35,,New York,,,,,,,,,,,,
223,American League,1916,6,,,,On Base Percentage,.337,,Detroit,,,,,,,,,,,,
224,American League,1916,7,,,,Runs,673,,Detroit,,,,,,,,,,,,
225,American League,1916,8,,,,Slugging Average,.350,,Detroit,,,,,,,,,,,,
226,American League,1916,9,,,,Stolen Bases,234,,St. Louis,,,,,,,,,,,,
227,American League,1917,1,,,,Base on Balls,549,,Cleveland,,,,,,,,,,,,
228,American League,1917,2,,,,Batting Average,.259,,Detroit,,,,,,,,,,,,
229,American League,1917,3,,,,Doubles,218,,Cleveland,,,,,,,,,,,,
230,American League,1917,4,,,,Hits,"1,317",,Detroit,,,,,,,,,,,,
231,American League,1917,5,,,,Home Runs,27,,New York,,,,,,,,,,,,
232,American League,1917,6,,,,On Base Percentage,.329,,Chicago,,,,,,,,,,,,
233,American League,1917,7,,,,Runs,656,,Chicago,,,,,,,,,,,,
234,American League,1917,8,,,,Slugging Average,.344,,Detroit,,,,,,,,,,,,
235,American League,1917,9,,,,Stolen Bases,219,,Chicago,,,,,,,,,,,,
236,American League,1918,1,,,,Base on Balls,491,,Cleveland,,,,,,,,,,,,
237,American League,1918,2,,,,Batting Average,.260,,Cleveland,,,,,,,,,,,,
238,American League,1918,3,,,,Doubles,176,,Cleveland,,,,,,,,,,,,
239,American League,1918,4,,,,Hits,"1,144",,Washington,,,,,,,,,,,,
240,American League,1918,5,,,,Home Runs,22,,Philadelphia,,,,,,,,,,,,
241,American League,1918,6,,,,On Base Percentage,.344,,Cleveland,,,,,,,,,,,,
242,American League,1918,7,,,,Runs,504,,Cleveland,,,,,,,,,,,,
243,American League,1918,8,,,,Slugging Average,.341,,Cleveland,,,,,,,,,,,,
244,American League,1918,9,,,,Stolen Bases,165,,Cleveland,,,,,,,,,,,,
245,American League,1919,1,,,,Base on Balls,498,,Cleveland,,,,,,,,,,,,
246,American League,1919,2,,,,Batting Average,.287,,Chicago,,,,,,,,,,,,
247,American League,1919,3,,,,Doubles,254,,Cleveland,,,,,,,,,,,,
248,American League,1919,4,,,,Hits,"1,343",,Chicago,,,,,,,,,,,,
249,American League,1919,5,,,,Home Runs,45,,New York,,,,,,,,,,,,
250,American League,1919,6,,,,On Base Percentage,.354,,Cleveland,,,,,,,,,,,,
251,American League,1919,7,,,,Runs,667,,Chicago,,,,,,,,,,,,
252,American League,1919,8,,,,Slugging Average,.381,,Cleveland,,,,,,,,,,,,
253,American League,1919,9,,,,Stolen Bases,150,,Chicago,,,,,,,,,,,,
254,American League,1920,1,,,,Base on Balls,574,,Cleveland,,,,,,,,,,,,
255,American League,1920,2,,,,Batting Average,.308,,St. Louis,,,,,,,,,,,,
256,American League,1920,3,,,,Doubles,301,,Cleveland,,,,,,,,,,,,
257,American League,1920,4,,,,Hits,"1,650",,St. Louis,,,,,,,,,,,,
258,American League,1920,5,,,,Home Runs,115,,New York,,,,,,,,,,,,
259,American League,1920,6,,,,On Base Percentage,.376,,Cleveland,,,,,,,,,,,,
260,American League,1920,7,,,,Runs,856,,Cleveland,,,,,,,,,,,,
261,American League,1920,8,,,,Slugging Average,.426,,New York,,,,,,,,,,,,
262,American League,1920,9,,,,Stolen Bases,160,,Washington,,,,,,,,,,,,
263,American League,1921,1,,,,Base on Balls,619,,Cleveland,,,,,,,,,,,,
264,American League,1921,2,,,,Batting Average,.316,,Detroit,,,,,,,,,,,,
265,American League,1921,3,,,,Doubles,355,,Cleveland,,,,,,,,,,,,
266,American League,1921,4,,,,Hits,"1,723",,Detroit,,,,,,,,,,,,
267,American League,1921,5,,,,Home Runs,134,,New York,,,,,,,,,,,,
268,American League,1921,6,,,,On Base Percentage,.385,,Detroit,,,,,,,,,,,,
269,American League,1921,7,,,,Runs,948,,New York,,,,,,,,,,,,
270,American League,1921,8,,,,Slugging Average,.464,,New York,,,,,,,,,,,,
271,American League,1921,9,,,,Stolen Bases,112,,Washington,,,,,,,,,,,,
272,American League,1922,1,,,,Base on Balls,550,,Cleveland,,,,,,,,,,,,
273,American League,1922,2,,,,Batting Average,.310,,St. Louis,,,,,,,,,,,,
274,American League,1922,3,,,,Doubles,320,,Cleveland,,,,,,,,,,,,
275,American League,1922,4,,,,Hits,"1,684",,St. Louis,,,,,,,,,,,,
276,American League,1922,5,,,,Home Runs,111,,Philadelphia,,,,,,,,,,,,
277,American League,1922,6,,,,On Base Percentage,.373,,Detroit,,,,,,,,,,,,
278,American League,1922,7,,,,Runs,867,,St. Louis,,,,,,,,,,,,
279,American League,1922,8,,,,Slugging Average,.453,,St. Louis,,,,,,,,,,,,
280,American League,1922,9,,,,Stolen Bases,136,,St. Louis,,,,,,,,,,,,
281,American League,1923,1,,,,Base on Balls,633,,Cleveland,,,,,,,,,,,,
282,American League,1923,2,,,,Batting Average,.301,,Cleveland,,,,,,,,,,,,
283,American League,1923,3,,,,Doubles,301,,Cleveland,,,,,,,,,,,,
284,American League,1923,4,,,,Hits,"1,594",,Cleveland,,,,,,,,,,,,
285,American League,1923,5,,,,Home Runs,105,,New York,,,,,,,,,,,,
286,American League,1923,6,,,,On Base Percentage,.381,,Cleveland,,,,,,,,,,,,
287,American League,1923,7,,,,Runs,888,,Cleveland,,,,,,,,,,,,
288,American League,1923,8,,,,Slugging Average,.422,,New York,,,,,,,,,,,,
289,American League,1924,1,,,,Base on Balls,607,,Detroit,,,,,,,,,,,,
290,American League,1924,2,,,,Batting Average,.298,,Detroit,,,,,,,,,,,,
291,American League,1924,3,,,,Doubles,315,,Detroit,,,,,,,,,,,,
292,American League,1924,4,,,,Hits,"1,604",,Detroit,,,,,,,,,,,,
293,American League,1924,5,,,,Home Runs,98,,New York,,,,,,,,,,,,
294,American League,1924,6,,,,On Base Percentage,.373,,Detroit,,,,,,,,,,,,
295,American League,1924,7,,,,Runs,849,,Detroit,,,,,,,,,,,,
296,American League,1924,8,,,,Slugging Average,.426,,New York,,,,,,,,,,,,
297,American League,1925,1,,,,Base on Balls,662,,Chicago,,,,,,,,,,,,
298,American League,1925,2,,,,Batting Average,.307,,Philadelphia,,,,,,,,,,,,
299,American League,1925,3,,,,Doubles,304,,St. Louis,,,,,,,,,,,,
300,American League,1925,4,,,,Hits,"1,659",,Philadelphia,,,,,,,,,,,,
301,American League,1925,5,,,,Home Runs,110,,New York,,,,,,,,,,,,
302,American League,1925,6,,,,Home Runs,110,,St. Louis,,,,,,,,,,,,
303,American League,1925,7,,,,On Base Percentage,.379,,Detroit,,,,,,,,,,,,
304,American League,1925,8,,,,Runs,903,,Detroit,,,,,,,,,,,,
305,American League,1925,9,,,,Slugging Average,.439,,St. Louis,,,,,,,,,,,,
306,American League,1926,1,,,,Base on Balls,642,,New York,,,,,,,,,,,,
307,American League,1926,2,,,,Batting Average,.292,,Washington,,,,,,,,,,,,
308,American League,1926,3,,,,Doubles,333,,Cleveland,,,,,,,,,,,,
309,American League,1926,4,,,,Hits,"1,547",,Detroit,,,,,,,,,,,,
310,American League,1926,5,,,,Home Runs,121,,New York,,,,,,,,,,,,
311,American League,1926,6,,,,On Base Percentage,.369,,New York,,,,,,,,,,,,
312,American League,1926,7,,,,Runs,847,,New York,,,,,,,,,,,,
313,American League,1926,8,,,,Slugging Average,.437,,New York,,,,,,,,,,,,
314,American League,1927,1,,,,Base on Balls,635,,New York,,,,,,,,,,,,
315,American League,1927,2,,,,Batting Average,.307,,New York,,,,,,,,,,,,
316,American League,1927,3,,,,Doubles,321,,Cleveland,,,,,,,,,,,,
317,American League,1927,4,,,,Hits,"1,644",,New York,,,,,,,,,,,,
318,American League,1927,5,,,,Home Runs,158,,New York,,,,,,,,,,,,
319,American League,1927,6,,,,On Base Percentage,.383,,New York,,,,,,,,,,,,
320,American League,1927,7,,,,Runs,975,,New York,,,,,,,,,,,,
321,American League,1927,8,,,,Slugging Average,.489,,New York,,,,,,,,,,,,
322,American League,1927,9,,,,Stolen Bases,139,,Detroit,,,,,,,,,,,,
323,American League,1927,10,,,,Triples,103,,New York,,,,,,,,,,,,
324,American League,1928,1,,,,Base on Balls,562,,New York,,,,,,,,,,,,
325,American League,1928,2,,,,Batting Average,.296,,New York,,,,,,,,,,,,
326,American League,1928,3,,,,Doubles,323,,Philadelphia,,,,,,,,,,,,
327,American League,1928,4,,,,Hits,"1,578",,New York,,,,,,,,,,,,
328,American League,1928,5,,,,Home Runs,133,,New York,,,,,,,,,,,,
329,American League,1928,6,,,,On Base Percentage,.365,,New York,,,,,,,,,,,,
330,American League,1928,7,,,,Runs,894,,New York,,,,,,,,,,,,
331,American League,1928,8,,,,Slugging Average,.450,,New York,,,,,,,,,,,,
332,American League,1929,1,,,,Base on Balls,589,,St. Louis,,,,,,,,,,,,
333,American League,1929,2,,,,Batting Average,.299,,Detroit,,,,,,,,,,,,
334,American League,1929,3,,,,Doubles,339,,Detroit,,,,,,,,,,,,
335,American League,1929,4,,,,Hits,"1,671",,Detroit,,,,,,,,,,,,
336,American League,1929,5,,,,Home Runs,142,,New York,,,,,,,,,,,,
337,American League,1929,6,,,,On Base Percentage,.365,,Philadelphia,,,,,,,,,,,,
338,American League,1929,7,,,,Runs,926,,Detroit,,,,,,,,,,,,
339,American League,1929,8,,,,Slugging Average,.453,,Detroit,,,,,,,,,,,,
340,American League,1930,1,,,,Base on Balls,644,,New York,,,,,,,,,,,,
341,American League,1930,2,,,,Batting Average,.309,,New York,,,,,,,,,,,,
342,American League,1930,3,,,,Doubles,358,,Cleveland,,,,,,,,,,,,
343,American League,1930,4,,,,Hits,"1,683",,New York,,,,,,,,,,,,
